te,max
2140,25.7
2141,27.1
2142,26.2
2143,26.3
2144,26.6
2145,27
2146,26.6
2147,26.9
2148,26.3
2149,27.1
2150,27.5
2151,27.8
2152,27.2
2153,27
2154,26.9
2155,27.4
2156,25.4
2157,24.6
2158,24.9
2159,24.4
2160,25.7
2161,24.4
2162,24.1
2163,24.9
2164,24.9
2165,24
2166,25.3
2167,24.7
2168,24.6
2169,26.6
2170,26.9
2171,27.1
2172,27.6
2173,26.6
2174,27.9
2175,27.9
2176,26.4
2177,23.7
2178,24.1
2179,25.6
2180,24.1
2181,24.6
2182,22.7
2183,24.2
2184,24.6
